5,1,1,1,1,678.54
2,1,1,2,1,717.892
1,2,2,2,1,729.578
4,1,2,3,1,766.898
3,4,5,3,2,774.608
1,5,5,3,1,778.941
1,4,2,2,1,783.548
6,2,3,2,1,822.487
4,5,3,9,1,841.026
3,1,7,4,2,842.766
3,4,1,1,1,855.331
9,8,2,3,1,895.45
3,1,7,3,2,910.517
2,4,7,3,1,928.168
7,1,2,4,1,946.103
8,3,7,4,1,957.01
5,1,4,1,1,964.459
4,2,9,6,2,965.045
2,3,1,9,1,974.602
6,5,7,6,1,981.956
1,3,4,4,1,982.149
3,2,6,1,1,984.886
7,1,4,1,1,986.043
2,7,2,2,1,992.236
5,4,3,9,1,992.525
3,2,3,4,1,998.04
9,3,2,3,1,1001.576
1,7,1,5,1,1002.936
3,6,9,1,1,1013.602
4,2,8,2,1,1023.923
7,1,3,2,1,1025.363
3,1,5,4,2,1030.11
6,5,2,2,1,1030.883
5,1,1,1,2,1032.719
6,2,4,7,1,1044.194
9,8,4,1,2,1058.911
8,5,1,4,1,1059.787
4,4,7,5,1,1066.846
3,8,5,6,1,1067.788
3,4,2,7,1,1073.969
6,6,1,4,1,1074.259
4,1,4,1,2,1075.076
4,4,7,7,1,1075.155
1,3,7,5,3,1077.928
4,4,1,1,1,1078.841
1,1,8,6,1,1081.555
1,1,6,8,1,1081.848
3,8,4,6,1,1097.311
4,1,1,1,2,1117.489
4,1,9,9,1,1126.412
5,4,5,5,1,1126.58
5,6,6,2,2,1132.732
2,4,2,3,1,1134.256
7,7,1,7,1,1135.569
6,3,1,3,1,1141.032
2,9,3,2,2,1146.559
2,2,7,8,1,1152.087
6,2,4,2,1,1152.521
1,1,7,4,1,1156.363
5,6,3,9,1,1164.241
8,2,4,3,1,1174.043
9,4,6,5,1,1176.072
2,9,1,1,1,1177.204
1,5,1,2,1,1177.452
4,3,9,5,1,1180.026
1,3,1,1,1,1182.091
2,9,7,3,1,1182.564
1,9,9,4,2,1185.728
4,6,8,2,1,1189.297
7,8,9,2,1,1189.414
8,5,5,6,2,1193.367
6,3,2,2,3,1195.249
3,1,3,3,1,1204.35
9,1,6,4,2,1208.525
3,2,4,3,1,1210.399
1,3,4,6,1,1211.132
5,4,6,3,2,1211.579
4,1,8,1,2,1213.749
3,1,2,1,2,1213.898
1,6,1,4,1,1215.379
7,2,3,3,2,1220.188
2,9,9,5,1,1221.183
5,7,2,2,1,1222.522
3,1,7,8,2,1222.846
6,3,3,4,3,1223.722
8,5,7,3,1,1224.059
4,3,1,2,1,1225.45
1,7,1,3,1,1227.505
3,2,7,3,1,1229.621
2,5,2,3,1,1229.644
3,4,6,7,1,1230.82
3,8,3,2,1,1230.89
3,2,1,4,1,1231.417
6,6,2,6,1,1232.965
7,2,8,6,1,1234.638
1,4,5,5,1,1234.773
4,1,3,3,1,1235.187
4,1,9,6,1,1235.381
5,9,6,3,1,1237.206
3,4,2,9,2,1239.72
3,6,1,7,1,1240.152
1,1,7,2,1,1243.768
4,5,2,2,1,1244.825
4,3,2,6,1,1246.808
3,7,4,5,1,1247.568
8,2,5,9,1,1248.486
2,6,2,8,1,1248.761
9,1,5,8,1,1249.213
2,1,5,6,5,1250.781
1,3,3,1,1,1251.338
1,5,2,1,3,1251.85
5,7,3,4,2,1252.48
3,1,2,5,3,1252.528
5,3,1,3,1,1252.644
4,1,2,3,1,1253.036
5,1,4,4,2,1255.073
8,2,9,1,2,1256.045
1,2,4,1,2,1256.42
3,2,6,4,3,1256.944
4,6,2,5,1,1258.158
9,1,3,2,3,1259.275
1,9,4,1,3,1259.37
3,5,3,2,1,1259.719
3,2,9,9,3,1261.464
7,2,2,1,2,1261.906
1,6,7,1,2,1264.697
5,9,4,6,1,1265.089
1,4,7,1,4,1265.217
2,9,1,5,1,1265.269
1,3,7,1,1,1265.41
2,3,8,1,3,1265.676
4,9,6,4,1,1267.456
7,3,2,1,1,1268.602
1,3,2,3,2,1268.918
6,5,9,2,3,1268.921
2,8,5,6,2,1269.694
6,7,6,4,3,1269.97
4,5,9,1,1,1270.055
1,9,9,3,1,1270.548
